direction,seed,selected_rank,feature
NPM -> PyPI,1,61,early_connect_count
NPM -> PyPI,1,62,faccessat_count
NPM -> PyPI,1,63,ENETUNREACH_count
NPM -> PyPI,1,64,sequence_truncated
NPM -> PyPI,1,65,exec_remote_tool_count
NPM -> PyPI,1,66,tmp_path_count
NPM -> PyPI,1,67,tmp_exec_count
NPM -> PyPI,1,68,early_network_count
NPM -> PyPI,1,69,bind_count
NPM -> PyPI,1,70,EINVAL_count
NPM -> PyPI,1,71,middle_other_count
NPM -> PyPI,1,72,network_syscall_count
NPM -> PyPI,1,73,close_count
NPM -> PyPI,1,74,port_443_count
NPM -> PyPI,1,75,openat_count
NPM -> PyPI,1,76,write_ratio
NPM -> PyPI,1,77,late_write_count
NPM -> PyPI,1,78,middle_memory_count
NPM -> PyPI,1,79,munmap_count
NPM -> PyPI,1,80,home_path_count
NPM -> PyPI,1,81,ENOENT_count
NPM -> PyPI,1,82,connect_count
NPM -> PyPI,1,83,socket_count
NPM -> PyPI,1,84,read_count
NPM -> PyPI,1,85,recvmsg_count
NPM -> PyPI,1,86,brk_count
NPM -> PyPI,1,87,nonstandard_port_count
NPM -> PyPI,1,88,middle_process_count
NPM -> PyPI,1,89,connect_ipv4_count
NPM -> PyPI,1,90,late_process_count
NPM -> PyPI,1,91,mmap_count
NPM -> PyPI,1,92,connect_ipv6_count
NPM -> PyPI,1,93,first_chmod_offset
NPM -> PyPI,1,94,early_file_count
NPM -> PyPI,1,95,middle_write_count
NPM -> PyPI,1,96,early_process_count
NPM -> PyPI,1,97,getrandom_count
PyPI -> NPM,1,1,EEXIST_count
PyPI -> NPM,1,2,tmp_write_open_count
PyPI -> NPM,1,3,write_open_count
PyPI -> NPM,1,4,tmp_path_count
PyPI -> NPM,1,5,mkdirat_count
PyPI -> NPM,1,6,num_processes_with_shell
PyPI -> NPM,1,7,memory_syscall_count
PyPI -> NPM,1,8,unlinkat_count
PyPI -> NPM,1,9,permission_ratio
PyPI -> NPM,1,10,brk_count
PyPI -> NPM,1,11,tmp_chmod_count
PyPI -> NPM,1,12,chmod_path_count
PyPI -> NPM,1,13,mprotect_count
PyPI -> NPM,1,14,hidden_path_count
PyPI -> NPM,1,15,home_path_count
PyPI -> NPM,1,16,early_other_count
PyPI -> NPM,1,17,failed_syscall_count
PyPI -> NPM,1,18,early_write_count
PyPI -> NPM,1,19,munmap_count
PyPI -> NPM,1,20,close_count
PyPI -> NPM,1,21,fchmodat_count
PyPI -> NPM,1,22,process_ratio
PyPI -> NPM,1,23,early_chmod_count
PyPI -> NPM,1,24,mmap_count
PyPI -> NPM,1,25,write_ratio
PyPI -> NPM,1,26,write_count
PyPI -> NPM,1,27,path_total_count
PyPI -> NPM,1,28,permission_syscall_count
PyPI -> NPM,1,29,file_syscall_count
PyPI -> NPM,1,30,early_file_count
PyPI -> NPM,1,31,total_syscalls
PyPI -> NPM,1,32,early_permission_count
PyPI -> NPM,1,33,read_count
PyPI -> NPM,1,34,openat_count
PyPI -> NPM,1,35,connect_unix_socket_count
PyPI -> NPM,1,36,ENOENT_count
PyPI -> NPM,1,37,exec_ratio
PyPI -> NPM,1,38,memory_ratio
PyPI -> NPM,1,39,max_syscalls_in_one_process
PyPI -> NPM,1,40,process_syscall_count
PyPI -> NPM,1,41,futex_count
PyPI -> NPM,1,42,sequence_token_count
PyPI -> NPM,1,43,getrandom_count
PyPI -> NPM,1,44,first_chmod_offset
PyPI -> NPM,1,45,early_network_count
PyPI -> NPM,1,46,error_unique_count
PyPI -> NPM,1,47,bind_count
PyPI -> NPM,1,48,failed_open_count
PyPI -> NPM,1,49,network_syscall_count
PyPI -> NPM,1,50,recvfrom_count
PyPI -> NPM,1,51,socket_count
PyPI -> NPM,1,52,early_connect_count
PyPI -> NPM,1,53,exec_shell_count
PyPI -> NPM,1,54,connect_count
PyPI -> NPM,1,55,exec_remote_tool_count
PyPI -> NPM,1,56,recvmsg_count
PyPI -> NPM,1,57,early_process_count
PyPI -> NPM,1,58,first_connect_offset
PyPI -> NPM,1,59,port_443_count
PyPI -> NPM,1,60,connect_ipv4_count
PyPI -> NPM,1,61,ENETUNREACH_count
PyPI -> NPM,1,62,failed_execve_count
PyPI -> NPM,1,63,ENOTDIR_count
PyPI -> NPM,1,64,sensitive_path_count
PyPI -> NPM,1,65,connect_ipv6_count
PyPI -> NPM,1,66,faccessat_count
PyPI -> NPM,1,67,sequence_truncated
PyPI -> NPM,1,68,readlinkat_count
PyPI -> NPM,1,69,late_file_count
PyPI -> NPM,1,70,EINVAL_count
PyPI -> NPM,1,71,execve_count
PyPI -> NPM,1,72,uses_curl_shell_pattern
PyPI -> NPM,1,73,port_80_count
PyPI -> NPM,1,74,exec_downloader_count
PyPI -> NPM,1,75,EACCES_count
PyPI -> NPM,1,76,middle_execve_count
PyPI -> NPM,1,77,touched_ssh
PyPI -> NPM,1,78,uses_base64_keyword
PyPI -> NPM,1,79,uses_wget_shell_pattern
PyPI -> NPM,1,80,touched_env_file
PyPI -> NPM,1,81,late_execve_count
PyPI -> NPM,1,82,late_chmod_count
