experiment,seed,fusion_type,n_features,models_used,source_threshold,target_threshold,source_pred_rate,accuracy,balanced_accuracy,precision,malicious_recall,f1,auc,tn,fp,fn,tp,total_error,threshold
NPM -> PyPI,4,source_platt_calibrated_mean,97,"HistGradientBoosting,LightGBM,CatBoost,ExtraTrees,XGBoost",0.32,0.32,0.4932157394843962,0.5033921302578019,0.5033921302578019,0.5017018379850239,1.0,0.6681776971894833,0.6834585552562831,5,732,0,737,732,0.32
NPM -> PyPI,4,percentile_rank_mean,97,"HistGradientBoosting,LightGBM,CatBoost,ExtraTrees,XGBoost",0.51,0.5431809436841941,0.4871099050203528,0.7998643147896879,0.7998643147896879,0.807799442896936,0.7869742198100407,0.7972508591065293,0.8383191971559496,599,138,157,580,295,0.5431809436841941
NPM -> PyPI,5,raw_score_mean,97,"LightGBM,HistGradientBoosting,CatBoost,ExtraTrees,XGBoost",0.4,0.4,0.48846675712347354,0.5162822252374492,0.5162822252374492,0.5083102493074793,0.9959294436906377,0.6730857404860155,0.6552997317593603,27,710,3,734,713,0.4
NPM -> PyPI,5,source_zscore_mean,97,"LightGBM,HistGradientBoosting,CatBoost,ExtraTrees,XGBoost",0.06,0.06,0.48507462686567165,0.5502035278154681,0.5502035278154681,0.5266955266955267,0.9905020352781547,0.6877060763071126,0.6552408182352085,81,656,7,730,663,0.06
NPM -> PyPI,5,source_platt_calibrated_mean,97,"LightGBM,HistGradientBoosting,CatBoost,ExtraTrees,XGBoost",0.46,0.46,0.48846675712347354,0.5176390773405699,0.5176390773405699,0.5090152565880721,0.9959294436906377,0.6737035337310693,0.6545099223262004,29,708,3,734,711,0.46
NPM -> PyPI,5,percentile_rank_mean,97,"LightGBM,HistGradientBoosting,CatBoost,ExtraTrees,XGBoost",0.5,0.5299185888738128,0.49389416553595655,0.7327001356852103,0.7327001356852103,0.7253613666228647,0.7489823609226595,0.7369826435246996,0.7714422214817119,528,209,185,552,394,0.5299185888738128
NPM -> PyPI,10,raw_score_mean,97,"XGBoost,HistGradientBoosting,LightGBM,CatBoost,ExtraTrees",0.31,0.31,0.48778833107191316,0.5848032564450475,0.5848032564450475,0.54724111866969,0.9823609226594301,0.7029126213592233,0.8129688918182003,138,599,13,724,612,0.31
NPM -> PyPI,10,source_zscore_mean,97,"XGBoost,HistGradientBoosting,LightGBM,CatBoost,ExtraTrees",0.12,0.12,0.48100407055630934,0.7659430122116689,0.7659430122116689,0.8024691358024691,0.7055630936227951,0.7509025270758123,0.8134033790588197,609,128,217,520,345,0.12
NPM -> PyPI,10,source_platt_calibrated_mean,97,"XGBoost,HistGradientBoosting,LightGBM,CatBoost,ExtraTrees",0.62,0.62,0.48100407055630934,0.762550881953867,0.762550881953867,0.7792207792207793,0.7327001356852103,0.7552447552447552,0.8074623183576382,584,153,197,540,350,0.62
NPM -> PyPI,10,percentile_rank_mean,97,"XGBoost,HistGradientBoosting,LightGBM,CatBoost,ExtraTrees",0.51,0.5335802485046091,0.4864314789687924,0.7666214382632293,0.7666214382632293,0.7740585774058577,0.7530529172320217,0.7634112792297112,0.8176267423214506,575,162,182,555,344,0.5335802485046091
