experiment,seed,feature_group,n_features,model,alignment,source_threshold,target_threshold,source_oof_f1,source_pred_rate,accuracy,balanced_accuracy,precision,malicious_recall,f1,auc,tn,fp,fn,tp,total_error,threshold
NPM -> PyPI,2,permission_only,12,RandomForest,rank_threshold_transfer,0.63,0.32857142857142857,0.9419174247725682,0.4694708276797829,0.5827679782903663,0.5827679782903663,0.5856741573033708,0.5658073270013568,0.5755693581780539,0.5311155459902903,442,295,320,417,615,0.32857142857142857
NPM -> PyPI,2,ratios_only,11,RandomForest,rank_threshold_transfer,0.67,0.7171428571428572,0.9680111265646731,0.4755766621438263,0.576662143826323,0.576662143826323,0.5768707482993197,0.5753052917232022,0.5760869565217391,0.5919722959152676,426,311,313,424,624,0.7171428571428572
NPM -> PyPI,2,flags_only,3,RandomForest,rank_threshold_transfer,0.45,0.052924296104683126,0.9338959212376934,0.46472184531886024,0.5,0.5,0.5,1.0,0.6666666666666666,0.4953025669727102,0,737,0,737,737,0.052924296104683126
NPM -> PyPI,2,all_minus_file,104,RandomForest,rank_threshold_transfer,0.54,0.5942857142857143,0.9731219848380427,0.4843962008141113,0.6221166892808684,0.6221166892808684,0.6253481894150418,0.6092265943012212,0.6171821305841925,0.5933227043516842,468,269,288,449,557,0.5942857142857143
NPM -> PyPI,2,all_minus_network,105,RandomForest,rank_threshold_transfer,0.53,0.6314285714285715,0.974500344589938,0.4843962008141113,0.6085481682496607,0.6085481682496607,0.6104972375690608,0.5997286295793759,0.6050650239561944,0.6029854428363915,455,282,295,442,577,0.6314285714285715
NPM -> PyPI,2,all_minus_process,107,RandomForest,rank_threshold_transfer,0.48,0.6742857142857143,0.9752407152682255,0.4864314789687924,0.592944369063772,0.592944369063772,0.5934515688949522,0.5902306648575305,0.5918367346938775,0.668895868505014,439,298,302,435,600,0.6742857142857143
NPM -> PyPI,2,all_minus_ratios,118,RandomForest,rank_threshold_transfer,0.53,0.6142857142857143,0.9751724137931035,0.4837177747625509,0.60719131614654,0.6071913161465401,0.6073369565217391,0.6065128900949797,0.6069246435845214,0.6718802067128279,448,289,290,447,579,0.6142857142857143
NPM -> PyPI,2,all_minus_flags,126,RandomForest,rank_threshold_transfer,0.53,0.6228571428571429,0.9751724137931035,0.4837177747625509,0.6112618724559024,0.6112618724559022,0.6132596685082873,0.6024423337856174,0.6078028747433265,0.598465670905372,457,280,293,444,573,0.6228571428571429
PyPI -> NPM,2,all_features,129,ExtraTrees,mean_std_score_alignment,0.51,0.51,0.9595058339052849,0.48846675712347354,0.937584803256445,0.9375848032564451,0.9820627802690582,0.8914518317503393,0.9345661450924608,0.9578722276124005,725,12,80,657,92,0.51
PyPI -> NPM,2,file_only,25,ExtraTrees,mean_std_score_alignment,0.61,0.61,0.9520500347463516,0.4762550881953867,0.762550881953867,0.7625508819538671,0.7009345794392523,0.9158751696065129,0.7941176470588235,0.8078406536455505,449,288,62,675,350,0.61
PyPI -> NPM,2,network_only,24,ExtraTrees,mean_std_score_alignment,0.62,0.62,0.8067700987306065,0.46200814111261873,0.6221166892808684,0.6221166892808684,0.615681233933162,0.649932157394844,0.6323432343234323,0.7820761125911089,438,299,258,479,557,0.62
PyPI -> NPM,2,process_only,22,ExtraTrees,mean_std_score_alignment,0.62,0.62,0.8567474048442907,0.48032564450474896,0.932157394843962,0.932157394843962,0.976083707025411,0.8860244233378561,0.9288762446657184,0.9521594568173072,721,16,84,653,100,0.62
PyPI -> NPM,2,permission_only,12,ExtraTrees,mean_std_score_alignment,0.48,0.48,0.8943521594684385,0.5210312075983717,0.7435549525101763,0.7435549525101763,0.6875653082549634,0.89280868385346,0.7768595041322314,0.6735712089607471,438,299,79,658,378,0.48
PyPI -> NPM,2,ratios_only,11,ExtraTrees,mean_std_score_alignment,0.46,0.46,0.9380530973451328,0.4966078697421981,0.7957937584803256,0.7957937584803256,0.7517321016166282,0.8833107191316146,0.8122270742358079,0.9103998939556563,522,215,86,651,301,0.46
PyPI -> NPM,2,flags_only,3,ExtraTrees,mean_std_score_alignment,0.05,0.05,0.6965973534971645,0.9355495251017639,0.5,0.5,0.5,1.0,0.6666666666666666,0.4891451831750339,0,737,0,737,737,0.05
PyPI -> NPM,2,all_minus_file,104,ExtraTrees,mean_std_score_alignment,0.6,0.6,0.9489153254023793,0.4694708276797829,0.9423337856173677,0.9423337856173677,0.9909638554216867,0.89280868385346,0.939329050678087,0.9709850893552465,731,6,79,658,85,0.6
PyPI -> NPM,2,all_minus_network,105,ExtraTrees,mean_std_score_alignment,0.54,0.54,0.9585635359116023,0.48236092265943015,0.937584803256445,0.9375848032564451,0.9791976225854383,0.8941655359565808,0.9347517730496454,0.9569894452739387,723,14,78,659,92,0.54
PyPI -> NPM,2,all_minus_process,107,ExtraTrees,mean_std_score_alignment,0.54,0.54,0.9593943565037852,0.48575305291723203,0.737449118046133,0.737449118046133,0.6746506986027944,0.9172320217096337,0.777458309373203,0.8654939806947747,411,326,61,676,387,0.54
PyPI -> NPM,2,all_minus_ratios,118,ExtraTrees,mean_std_score_alignment,0.58,0.58,0.9626038781163435,0.4796472184531886,0.9348710990502035,0.9348710990502035,0.9834087481146304,0.8846675712347354,0.9314285714285714,0.9660621279933133,726,11,85,652,96,0.58
PyPI -> NPM,2,all_minus_flags,126,ExtraTrees,mean_std_score_alignment,0.46,0.46,0.9591280653950953,0.49592944369063774,0.937584803256445,0.9375848032564451,0.9908675799086758,0.8833107191316146,0.9340028694404591,0.9637506926941708,731,6,86,651,92,0.46
NPM -> PyPI,3,all_features,129,RandomForest,rank_threshold_transfer,0.56,0.66,0.9730848861283644,0.4830393487109905,0.5691994572591588,0.5691994572591588,0.5712290502793296,0.5549525101763908,0.5629731589814178,0.5426561530573357,430,307,328,409,635,0.66
NPM -> PyPI,3,file_only,25,RandomForest,rank_threshold_transfer,0.67,0.7514285714285714,0.9728978457261988,0.4762550881953867,0.7890094979647219,0.7890094979647218,0.7901907356948229,0.7869742198100407,0.7885791978246091,0.7802065287231046,583,154,157,580,311,0.7514285714285714
NPM -> PyPI,3,network_only,24,RandomForest,rank_threshold_transfer,0.56,0.5857142857142857,0.9625520110957004,0.47829036635006783,0.4701492537313433,0.4701492537313433,0.47689075630252103,0.6160108548168249,0.5375962107756068,0.5281542208778482,239,498,283,454,781,0.5857142857142857
NPM -> PyPI,3,process_only,22,RandomForest,rank_threshold_transfer,0.59,0.30857142857142855,0.9673837612768911,0.47761194029850745,0.43487109905020355,0.4348710990502035,0.4503105590062112,0.5902306648575305,0.5108631826189078,0.3962477608258203,206,531,302,435,833,0.30857142857142855
NPM -> PyPI,3,permission_only,12,RandomForest,rank_threshold_transfer,0.6,0.34285714285714286,0.9402777777777778,0.4769335142469471,0.582089552238806,0.5820895522388059,0.5839112343966713,0.5712347354138398,0.5775034293552812,0.5329934145726284,437,300,316,421,616,0.34285714285714286
NPM -> PyPI,3,ratios_only,11,RandomForest,rank_threshold_transfer,0.73,0.7114285714285714,0.9664335664335665,0.4701492537313433,0.5834464043419267,0.5834464043419267,0.578343949044586,0.6160108548168249,0.5965834428383706,0.5761006242992512,406,331,283,454,614,0.7114285714285714
NPM -> PyPI,3,flags_only,3,RandomForest,rank_threshold_transfer,0.48,0.04982653706916518,0.9338959212376934,0.46472184531886024,0.5,0.5,0.5,1.0,0.6666666666666666,0.4953025669727102,0,737,0,737,737,0.04982653706916518
NPM -> PyPI,3,all_minus_file,104,RandomForest,rank_threshold_transfer,0.46,0.6457142857142857,0.9698216735253772,0.4891451831750339,0.6024423337856174,0.6024423337856173,0.5994729907773386,0.6173677069199457,0.6082887700534759,0.6222759399008411,433,304,282,455,586,0.6457142857142857
NPM -> PyPI,3,all_minus_network,105,RandomForest,rank_threshold_transfer,0.63,0.6342857142857142,0.972972972972973,0.4789687924016282,0.6058344640434192,0.6058344640434192,0.6077348066298343,0.5970149253731343,0.6023271731690623,0.6805543026203631,453,284,297,440,581,0.6342857142857142
NPM -> PyPI,3,all_minus_process,107,RandomForest,rank_threshold_transfer,0.51,0.7142857142857143,0.9717825189263593,0.48575305291723203,0.5773405698778833,0.5773405698778833,0.5785123966942148,0.5698778833107191,0.5741626794258373,0.6547520200895117,431,306,317,420,623,0.7142857142857143
NPM -> PyPI,3,all_minus_ratios,118,RandomForest,rank_threshold_transfer,0.53,0.5742857142857143,0.9724517906336089,0.48507462686567165,0.582089552238806,0.582089552238806,0.5827633378932968,0.5780189959294437,0.5803814713896458,0.6355241186444733,432,305,311,426,616,0.5742857142857143
NPM -> PyPI,3,all_minus_flags,126,RandomForest,rank_threshold_transfer,0.55,0.6514285714285715,0.9724137931034482,0.4837177747625509,0.6004070556309362,0.6004070556309362,0.6016483516483516,0.5943012211668928,0.5979522184300341,0.583057022768236,447,290,299,438,589,0.6514285714285715
PyPI -> NPM,3,all_features,129,ExtraTrees,mean_std_score_alignment,0.51,0.51,0.9553264604810997,0.4871099050203528,0.9362279511533242,0.9362279511533242,0.9878603945371776,0.8833107191316146,0.9326647564469914,0.9648709701768694,729,8,86,651,94,0.51
PyPI -> NPM,3,file_only,25,ExtraTrees,mean_std_score_alignment,0.49,0.49,0.9452054794520548,0.49050203527815467,0.737449118046133,0.737449118046133,0.6739562624254473,0.9199457259158752,0.7779690189328744,0.6725374607166463,409,328,59,678,387,0.49
PyPI -> NPM,3,network_only,24,ExtraTrees,mean_std_score_alignment,0.53,0.53,0.7986206896551724,0.4837177747625509,0.6268656716417911,0.6268656716417911,0.619108280254777,0.6594301221166893,0.6386333771353482,0.7801789130086585,438,299,251,486,550,0.53
PyPI -> NPM,3,process_only,22,ExtraTrees,mean_std_score_alignment,0.5,0.5,0.8563685636856369,0.5013568521031208,0.9328358208955224,0.9328358208955223,0.9761194029850746,0.8873812754409769,0.929637526652452,0.9514350045750033,721,16,83,654,99,0.5
PyPI -> NPM,3,permission_only,12,ExtraTrees,mean_std_score_alignment,0.44,0.44,0.8999337309476475,0.5237449118046132,0.7354138398914518,0.7354138398914518,0.6712734452122409,0.9226594301221167,0.7771428571428571,0.5980541967601245,404,333,57,680,390,0.44
PyPI -> NPM,3,ratios_only,11,ExtraTrees,mean_std_score_alignment,0.47,0.47,0.9355281207133059,0.4891451831750339,0.7204884667571235,0.7204884667571234,0.6600985221674877,0.9090909090909091,0.7648401826484018,0.7383521519085221,392,345,67,670,412,0.47
PyPI -> NPM,3,flags_only,3,ExtraTrees,mean_std_score_alignment,0.05,0.05,0.6965973534971645,0.9355495251017639,0.5,0.5,0.5,1.0,0.6666666666666666,0.4891451831750339,0,737,0,737,737,0.05
PyPI -> NPM,3,all_minus_file,104,ExtraTrees,mean_std_score_alignment,0.59,0.59,0.9433962264150944,0.4708276797829037,0.9416553595658074,0.9416553595658074,0.9909502262443439,0.8914518317503393,0.9385714285714286,0.9672652526193505,731,6,80,657,86,0.59
PyPI -> NPM,3,all_minus_network,105,ExtraTrees,mean_std_score_alignment,0.52,0.52,0.9544827586206897,0.4837177747625509,0.9355495251017639,0.9355495251017639,0.9734513274336283,0.8955223880597015,0.9328621908127208,0.9708737059736471,719,18,77,660,95,0.52
PyPI -> NPM,3,all_minus_process,107,ExtraTrees,mean_std_score_alignment,0.53,0.53,0.9537612146307799,0.4830393487109905,0.7306648575305291,0.7306648575305291,0.668986083499006,0.9131614654002713,0.7722317842799771,0.6995971787786122,404,333,64,673,397,0.53
